code,name,notes
BKA,ĐH Bách khoa Hà Nội,
QHI,ĐH Công Nghệ - ĐH Quốc Gia Hà Nội,
NHH,HV Ngân Hàng,
DCN,ĐH Công Nghiệp Hà Nội,
KHA,ĐH Kinh Tế Quốc Dân,
KSA,ĐH Kinh Tế TP.HCM,
HTC,HV Tài Chính,
CBC,CĐ Bán công Công Nghệ và Quản trị Doanh Nghiệp,
CTH,CĐ Kinh tế - Kỹ thuật Thương Mại,
DDK,ĐH Bách Khoa - ĐH Đà Nẵng,
NHF,ĐH Hà Nội,
QHF,ĐH Ngoại Ngữ - ĐH Quốc gia Hà Nội,
NTH,ĐH Nông Nghiệp Hà Nội,
SKH,ĐH Sư Phạm Kỹ Thuật Hưng Yên,
DTL,ĐH Thăng Long,
HCH,HV Hành Chính (cơ sở phía Bắc),
MHN,Viện ĐH Mở Hà Nội,
CGH,CĐ Giao thông Vận tải,
CKD,CĐ Kinh tế đối ngoại,
DPD,ĐH Dân Lập Phương Đông - Hà Nội,
DVL,ĐH Dân Lập Văn Lang,
DHP,ĐH Dân Lập Hải Phòng,
